dataset_id,name,title,organization_title,organization_name,license_title,metadata_created,metadata_modified,num_resources,api_access,tags,groups,resource_formats,resource_urls,url,organization_id
5363179b-4779-41a6-96bd-8cb33da5b03a,hk-aw-jp-jp,Justices of the Peace (JP) List,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:14.173401,2025-09-09T16:30:19.348949,4,False,,miscellaneous,JSON|JSON|JSON|JSON,https://www.info.gov.hk/jp/source/opendata/opendata_Non-official_JPs_en.json | https://www.info.gov.hk/jp/source/opendata/opendata_Non-official_JPs_tc.json | https://www.info.gov.hk/jp/source/opendata/opendata_Official_JPs_en.json | https://www.info.gov.hk/jp/source/opendata/opendata_Official_JPs_tc.json,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
712ae4fe-f39c-42c0-8599-4f3f1ed15dad,hk-aw-drf-approved-drf-grants,Disaster Relief Fund Approved Grants,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:03.585292,2025-07-08T16:30:28.113310,6,False,,miscellaneous,CSV|CSV|CSV|JSON|JSON|JSON,https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-en.csv | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-tc.csv | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-sc.csv | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-en.json | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-tc.json | https://www.admwing.gov.hk/opendata/drf/approved-drf-grants-sc.json,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
805b8cb1-548d-4cbb-8326-f42eb4992001,hk-aw-honours-honours,List of Recipients of Hong Kong Special Administrative Region Honours and Awards,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:19.634335,2025-06-30T16:30:30.952476,2,False,,miscellaneous,JSON|JSON,https://www.admwing.gov.hk/opendata/honours/honour-list_en.json | https://www.admwing.gov.hk/opendata/honours/honour-list_tc.json,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
52c29048-c662-4c29-83c1-21569d278166,hk-aw-grs-destruction-of-records-in-the-government,Destruction of Records in the Government,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:11.842636,2025-06-04T16:30:44.998991,3,False,,miscellaneous,CSV|CSV|CSV,https://www.grs.gov.hk/opendata/dissemination-for-destruction-information-en.csv | https://www.grs.gov.hk/opendata/dissemination-for-destruction-information-tc.csv | https://www.grs.gov.hk/opendata/dissemination-for-destruction-information-sc.csv,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
576cf92d-9761-4d7c-aec3-29a1c56cd128,hk-aw-grs-total-quantity-of-grs-archival-stock,Government Records Service' Archival Stock,"Administration Wing, Chief Secretary for Administration's Office",hk-aw,,2021-07-02T03:36:10.801395,2025-06-04T16:30:40.320621,1,False,,miscellaneous,CSV,https://www.grs.gov.hk/opendata/total-quantity-of-grs-archival-stock-en.csv,,63b4bbff-2176-4cfd-bd6d-8dab2dcc2377
