res_format,count
CSV,2491
JSON,1106
XLSX,1077
API,751
XLS,296
XML,258
GML,52
FGDB,23
GEOTIFF,20
GeoJSON,17
RSS,14
KML,9
ZIP,8
DGN,6
DWG,6
JPEG,5
SHP,5
GFS,4
PNG,4
OBJ,3
GEOPACKAGE,3
KMZ,3
FBX,2
MAX,2
MDB,2
OSGB,2
CESIUM3DTILES,2
GTFS,1
VRML,1
RTCM,1
RINEX,1
ICS,1
ASCII,1
GLTF,1
DAE,1
ASC,1
3DS,1
XLSM,1
