"週內每天
Day of week","1999
統計調查
Survey
抵港
Arrival              ","1999
統計調查
Survey
離港
Departure               ","2001
統計調查
Survey
抵港
Arrival              ","2001
統計調查
Survey
離港
Departure               ","2003
統計調查
Survey
抵港
Arrival              ","2003
統計調查
Survey
離港
Departure               ","2006
統計調查
Survey
抵港
Arrival              ","2006
統計調查
Survey
離港
Departure               ","2007
統計調查
Survey
抵港
Arrival              ","2007
統計調查
Survey
離港
Departure               ","2009
統計調查
Survey
抵港
Arrival              ","2009
統計調查
Survey
離港
Departure               ","2011
統計調查
Survey
抵港
Arrival              ","2011
統計調查
Survey
離港
Departure               ","2013/14
統計調查
Survey
抵港
Arrival              ","2013/14
統計調查
Survey
離港
Departure               ","2015
統計調查
Survey
抵港
Arrival              ","2015
統計調查
Survey
離港
Departure               ","2017
統計調查
Survey
抵港
Arrival              ","2017
統計調查
Survey
離港
Departure               "
"星期一
Monday",142800,130800,170600,158700,186400,188300,220300,221300,234300,239700,236800,242300,268600,271500,289700,302300,305200,304500,315100,307400
"星期二
Tuesday",120300,127800,147300,155300,165600,178100,195200,205100,216000,227300,226500,228700,251100,254000,274300,275200,303100,300100,301300,295400
"星期三 
Wednesday",128100,130200,151100,148800,170700,170400,197000,196600,219400,217700,234600,230400,252800,248500,281300,274000,301600,298000,303100,293700
"星期四
Thursday",128900,127800,150500,153000,174800,174700,206300,205700,224300,220500,232500,232400,263200,260400,280000,281400,302000,304600,304700,302700
"星期五
Friday",138300,147100,160500,179500,195900,196500,222500,231400,248100,247000,255200,256800,291700,294000,315800,313200,329100,338700,329400,347900
"星期六
Saturday",137600,208900,161500,237500,199700,253800,236600,293300,263800,319600,275000,323200,311600,358200,331900,366800,351600,405700,375600,428500
"星期日
Sunday",205900,117900,230200,128000,252600,172400,293100,212200,319400,239100,317000,241100,340900,270200,360000,288300,385600,311900,424300,337500
"全星期
All Days",143100,141500,167400,165800,192200,190600,224400,223700,246500,244400,253900,250700,282900,279600,304700,300200,325500,323400,336200,330400
