"癬癢翴
Trip end","1999
参璸秸琩
Survey
Ω
No. of trips","1999
参璸秸琩
Survey
κだゑ
% share   ","2001
参璸秸琩
Survey
Ω
No. of trips","2001
参璸秸琩
Survey
κだゑ
% share","2003
参璸秸琩
Survey
Ω
No. of trips","2003
参璸秸琩
Survey
κだゑ
% share","2006
参璸秸琩
Survey
Ω
No. of trips","2006
参璸秸琩
Survey
κだゑ
% share","2007
参璸秸琩
Survey
Ω
No. of trips","2007
参璸秸琩
Survey
κだゑ
% share","2009
参璸秸琩
Survey
Ω
No. of trips","2009
参璸秸琩
Survey
κだゑ
% share","2011
参璸秸琩
Survey
Ω
No. of trips","2011
参璸秸琩
Survey
κだゑ
% share","2013/14
参璸秸琩
Survey
Ω
No. of trips","2013/14
参璸秸琩
Survey
κだゑ
% share","2015
参璸秸琩
Survey
Ω
No. of trips","2015
参璸秸琩
Survey
κだゑ
% share","2017
参璸秸琩
Survey
Ω
No. of trips","2017
参璸秸琩
Survey
κだゑ
% share"
"┕ㄓ翠のず
Between Hong Kong and the Mainland",284600,93.5,333200,93.2,382800,93.8,448100,92.3,490900,90.9,504600,91.5,562400,91.2,604900,91.9,648800,92.5,666700,92.6
"┕ㄓ翠の緿
Between Hong Kong and Macao",19600,6.5,24200,6.8,25400,6.2,37400,7.7,49100,9.1,46600,8.5,54100,8.8,53200,8.1,52800,7.5,53300,7.4
"羆璸
Total",304300,100,357400,100,408200,100,485500,100,539900,100,551300,100,616500,100,658100,100,701600,100,720000,100
