groups,count
finance,605
commerce-and-industry,469
miscellaneous,269
development,230
population,222
law-and-security,217
employment-and-labour,207
information-technology-and-broadcasting,186
social-welfare,184
transport,181
recreation-and-culture,172
environment,151
education,138
city-management,125
health,119
climate-and-weather,53
housing,51
legislature,46
food,26
